ticker,market_cap,universe_rank
RYZ,1540057328,2125
PRGO,1535882247,2126
SKYT,1535183582,2127
LEG,1534865130,2128
ATLC,1534627875,2129
WWW,1533204417,2130
REX,1529957001,2131
WLFC,1529660724,2132
TIC,1522983542,2133
GIII,1515907288,2134
XZO,1514701044,2135
SVV,1514453864,2136
VIA,1511290242,2137
FBYD,1510071750,2138
PWP,1509720514,2139
XERS,1508805240,2140
MLKN,1508688462,2141
MAZE,1508435089,2142
GSL,1507847883,2143
ULCC,1505395891,2144
BW,1504767658,2145
DFH,1502087286,2146
TNC,1501638521,2147
YELP,1500696312,2148
TBLA,1500550692,2149
CSWC,1496970089,2150
VOYG,1495776590,2151
INSP,1494394180,2152
ODC,1494181989,2153
VET,1491402000,2154
AVBP,1485740203,2155
BRUN,1482888190,2156
AHCO,1478908632,2157
NCV,1476704117,2158
NNNN,1476323712,2159
ICFI,1476214837,2160
WEN,1475272557,2161
PRSU,1474925275,2162
PICS,1473410364,2163
BHRB,1468517861,2164
AGRO,1466895557,2165
JJSF,1466423364,2166
OI,1466310320,2167
STAA,1466271178,2168
PNTG,1465452528,2169
TRS,1462844379,2170
CRI,1457606378,2171
WBTN,1456478042,2172
BLFS,1456195254,2173
MRTN,1453918386,2174
SEPN,1451657540,2175
ALNT,1449377561,2176
KMTS,1449239751,2177
ALX,1448682809,2178
PGY,1447860600,2179
SBH,1445438563,2180
WABC,1444978992,2181
AMAL,1444086227,2182
SECZ,1443379327,2183
RMIX,1442057271,2184
ATEC,1441774734,2185
PEBO,1441463215,2186
TWFG,1438175613,2187
ARDT,1436352976,2188
BRBR,1430798944,2189
GLOB,1426220735,2190
FMC,1426141658,2191
ENR,1419455344,2192
OMDA,1417252407,2193
GCT,1416798291,2194
LINC,1416330505,2195
AKTS,1415655418,2196
MLTX,1413415603,2197
LGIH,1410896304,2198
HLX,1408887120,2199
WLTH,1406982655,2200
DMC,1406126679,2201
AIP,1403397393,2202
ARLO,1402152737,2203
BBAI,1400927141,2204
AMPX,1399984575,2205
NVGS,1397664510,2206
EOSE,1396896749,2207
AI,1395157261,2208
PAHC,1392789524,2209
LSPD,1392498781,2210
ORC,1391910575,2211
ECVT,1389511979,2212
CXM,1388976559,2213
DOLE,1380756365,2214
REAL,1368740590,2215
WINA,1364881487,2216
PURR,1363095436,2217
TSAT,1360687479,2218
LZ,1360308530,2219
CNMD,1359279563,2220
SCL,1353600484,2221
SID,1352615826,2222
NVAX,1352503529,2223
LOMA,1351346975,2224
CCEC,1350969142,2225
ITG,1348081937,2226
EPC,1347417972,2227
UMH,1346477543,2228
ROCK,1343536621,2229
FMBH,1338907618,2230
NBR,1332186174,2231
AMN,1331137305,2232
NWPX,1329328884,2233
NAT,1328735410,2234
ACVA,1327718119,2235
GIC,1324599247,2236
HLIT,1320401626,2237
UVV,1319699113,2238
UPBD,1317438208,2239
VPG,1308818400,2240
VTOL,1307697020,2241
YSWY,1305603473,2242
KOS,1305016403,2243
RES,1301014678,2244
NRP,1295956546,2245
DCH,1294835523,2246
AFYA,1294054615,2247
ASTE,1293565364,2248
AMPL,1292374552,2249
BJRI,1292330657,2250
NSSC,1291185959,2251
BORR,1290806010,2252
LADR,1290085989,2253
INBX,1287176504,2254
PBT,1287101902,2255
HLF,1284464064,2256
LQDT,1284198999,2257
HFWA,1281905209,2258
ABSI,1276082883,2259
CDRE,1273438155,2260
MNKD,1272874684,2261
TWO,1271585861,2262
PCT,1271545679,2263
GHM,1266929279,2264
RDWR,1265824542,2265
TDAY,1265305707,2266
HBNB,1263774884,2267
DFIN,1259486436,2268
XPEL,1259261405,2269
AORT,1258243632,2270
UVSP,1257377189,2271
ARDX,1256119730,2272
CCB,1254290702,2273
SBET,1253090204,2274
IMTX,1251121054,2275
QDEL,1247213189,2276
MCB,1247040526,2277
IRMD,1246601573,2278
AMRC,1239857429,2279
TTI,1233307999,2280
OPY,1232277215,2281
PDM,1231437180,2282
OSBC,1227176396,2283
CMP,1226022929,2284
SAFE,1225247134,2285
CCO,1224105332,2286
TRAX,1224024725,2287
AZTA,1222150698,2288
CVLG,1221170531,2289
DLX,1219458465,2290
HBT,1218038491,2291
SPH,1216738300,2292
GPRE,1213100574,2293
NPKI,1211814967,2294
AVO,1201149375,2295
TEN,1198476047,2296
LNN,1194386388,2297
MMI,1193656260,2298
COLL,1193563067,2299
DEA,1193284418,2300
CRVS,1193243117,2301
SENEB,1192748415,2302
SDGR,1185444286,2303
HTLD,1184042555,2304
MYE,1180238844,2305
UPWK,1178980618,2306
LIFE,1172008245,2307
MBC,1171698921,2308
IGIC,1170449341,2309
AVNS,1169215081,2310
OCFC,1167553399,2311
TRUP,1165102807,2312
PSEC,1162337755,2313
FCEL,1162184494,2314
POET,1160462454,2315
SGML,1157728755,2316
VYX,1148622804,2317
NUTX,1146018197,2318
AVLN,1140690534,2319
CBRL,1140483247,2320
MGTX,1140023142,2321
CERT,1139510754,2322
SVRA,1139395299,2323
JBGS,1138955447,2324
SENEA,1138889565,2325
CRAI,1138819611,2326
VRTS,1135960740,2327
THRM,1135609749,2328
NHP,1134035346,2329
TNDM,1130044678,2330
USPH,1128777580,2331
WLDN,1127704526,2332
NCZ,1126893664,2333
ASIC,1126365689,2334
FUBO,1126110726,2335
BRAI,1125406595,2336
AGBK,1124308392,2337
GOLD,1120293946,2338
ARHS,1119581906,2339
CAPR,1117989094,2340
CFFN,1116842176,2341
ITRN,1115234095,2342
SCSC,1113174453,2343
SVC,1111254350,2344
PZZA,1110936503,2345
NMAX,1106906728,2346
GNK,1104678243,2347
BTZ,1102436325,2348
PRCT,1101948820,2349
NBN,1100720700,2350
JCAP,1099225293,2351
EYPT,1096644178,2352
CIM,1096599296,2353
RHLD,1095762553,2354
UTZ,1095692355,2355
ORIC,1095215806,2356
OCSL,1091379630,2357
PXED,1090433124,2358
DSL,1089836107,2359
SAFT,1088482962,2360
HQ,1088298627,2361
XNCR,1086915797,2362
WVE,1086110430,2363
LMRI,1083790691,2364
SMPL,1082757071,2365
SBR,1077413596,2366
IVA,1075074919,2367
SBSI,1073888009,2368
ANRO,1068546636,2369
UVE,1068437597,2370
CEVA,1065063677,2371
FSBC,1064532419,2372
LAR,1063062000,2373
MCBS,1062427757,2374
EQBK,1061555213,2375
GRPN,1061082481,2376
ESQ,1060576550,2377
PDS,1058464101,2378
APPS,1058190333,2379
HBNC,1057906436,2380
GDRX,1056667164,2381
ALVO,1056638460,2382
MSEX,1055440724,2383
EVLV,1052247749,2384
KFRC,1049769840,2385
DRTS,1049076065,2386
CRON,1047880499,2387
AEVA,1047108037,2388
SPTX,1046789905,2389
ETON,1044333649,2390
CCNE,1043089403,2391
AIIR,1042512913,2392
CPF,1041439037,2393
SBGI,1036297743,2394
BVS,1035831334,2395
RXT,1032163850,2396
DEC,1031604551,2397
PLOW,1031383563,2398
BST,1026807137,2399
MBWM,1026270619,2400
ABX,1023491656,2401
LAC,1022011837,2402
BFST,1021676670,2403
JBIO,1020762215,2404
AEBI,1020431900,2405
SCHL,1018195468,2406
AMTB,1018067529,2407
CGEM,1016577539,2408
PCRX,1016160137,2409
GSBD,1015935830,2410
ACEL,1015783392,2411
ELVR,1015074983,2412
WYFI,1010920175,2413
JBSS,1010622207,2414
BOW,1005008061,2415
CRML,1003808360,2416
ENVX,1000015369,2417
LUCK,998708194,2418
PSUS,998407000,2419
BBSI,996630556,2420
CRSR,995073384,2421
ABR,993545613,2422
HAFC,993454768,2423
QNST,990932633,2424
MGRT,989587500,2425
ASST,988350443,2426
INMD,988079706,2427
ESRT,988025086,2428
HQH,986169813,2429
LXRX,983895004,2430
CSIQ,983342498,2431
BIOA,980627312,2432
FMN,980286370,2433
MUX,977837241,2434
ANNX,977320739,2435
MFA,976329630,2436
CRCT,973929662,2437
TRST,973871217,2438
GO,972904479,2439
BCX,971624215,2440
BAK,970600538,2441
NBBK,968335491,2442
JANX,967211854,2443
GOOS,964106536,2444
CSR,963156501,2445
ENHA,961047994,2446
LWLG,960968390,2447
KURA,960538629,2448
COUR,960120582,2449
TK,958034993,2450
VMET,956729877,2451
EVC,955366688,2452
ODD,954126904,2453
RPC,954088464,2454
OLMA,953834383,2455
NXDR,953469313,2456
AVTX,947231607,2457
ARRY,943724829,2458
RCAT,943643271,2459
KOP,943513384,2460
CAC,943500850,2461
ABUS,943242565,2462
DAKT,941071610,2463
RZLV,938918691,2464
ADTN,937148017,2465
PDX,936611650,2466
PHAR,935078045,2467
RDVT,934845818,2468
VOR,934164519,2469
GTM,932782578,2470
FTK,932655512,2471
ELE,932266274,2472
ROOT,931694046,2473
APEI,929831407,2474
ARI,927955168,2475
TROX,927632607,2476
THFF,926616536,2477
HPK,926204902,2478
AOSL,926021143,2479
KBDC,918947528,2480
MPB,914065333,2481
WRLD,912148292,2482
LMB,908385305,2483
DGICB,908085770,2484
EIG,907950178,2485
GERN,907752178,2486
BZH,906662975,2487
BBDC,903620409,2488
OPK,902335246,2489
BUR,900409697,2490
GLIBA,899857615,2491
BFS,898253588,2492
SANA,897879986,2493
GLIBK,897862365,2494
BH,896045114,2495
EVER,895651399,2496
ASA,894816240,2497
NABL,893854986,2498
MAX,892234539,2499
AMPH,887590459,2500
ARKO,887389053,2501
LYTS,885686747,2502
PMT,884667962,2503
LBRX,881807049,2504
NPK,881043416,2505
FMNB,880527362,2506
WGO,879303917,2507
CCBG,879268944,2508
MOV,879087065,2509
SLDB,878170486,2510
PHAT,878113043,2511
AHG,877459271,2512
HPP,876008688,2513
GSBC,875922453,2514
TBPH,875627790,2515
TBN,875620666,2516
MITK,874740492,2517
TALK,873578032,2518
SMP,871384740,2519
TDUP,871025711,2520
ACDC,865705803,2521
MATW,864775569,2522
ADSE,863304591,2523
KDK,863205466,2524
HMH,860907426,2525
SMBC,859329452,2526
INDI,858830648,2527
APOG,857478200,2528
FBRX,857448068,2529
NX,854719429,2530
WOOF,852043150,2531
RJET,849486695,2532
HSTM,846290958,2533
SPFI,844327751,2534
BCSF,841344536,2535
MTAL,841112747,2536
PGC,840912448,2537
GILT,838104878,2538
BLZE,834720000,2539
INR,834173020,2540
ADAM,833461777,2541
RPD,833043653,2542
SMBK,832866620,2543
HTB,831528718,2544
NNE,831509789,2545
CCU,831381458,2546
PD,830995638,2547
TRNS,830855087,2548
ORRF,829923579,2549
EGBN,829480755,2550
BLDP,827551206,2551
KELYB,826686836,2552
NAVI,825144260,2553
GLAS,824681998,2554
MTUS,820275917,2555
CYRX,820045633,2556
METC,818833301,2557
MFIC,817960196,2558
HCMA,817786449,2559
DJCO,817678007,2560
ALRS,815927136,2561
DSP,814586650,2562
FOXF,813980342,2563
ODTX,810768682,2564
SDHC,806690401,2565
HRTG,804880011,2566
CODI,802767757,2567
SIBN,801839472,2568
OPFI,797572936,2569
AVR,795285799,2570
BKSY,794875337,2571
FPH,793749048,2572
LXU,793485460,2573
EVEX,792392929,2574
FISI,790604619,2575
SHBI,789894531,2576
HOV,785098104,2577
ANGX,780135743,2578
REPL,779607773,2579
FDUS,779582637,2580
RIGL,779307610,2581
ONT,779161734,2582
CTMX,778287935,2583
IBCP,775718780,2584
DSGN,775403332,2585
HIVE,774212227,2586
EFOR,773503113,2587
SKYH,771401676,2588
HZO,770875249,2589
GFR,770134060,2590
VTEX,770020989,2591
RSKD,768443526,2592
GDOT,765750380,2593
KRO,765103221,2594
NGVC,764262872,2595
AGNT,763284627,2596
OFRM,762826474,2597
MNTN,761067161,2598
HNRG,758328007,2599
BBNX,757103198,2600
KODK,756820151,2601
SPRY,756690856,2602
